year,region,count_companies,count_patents,sum_rdex,sum_capex,mean_assets,sum_sales,sum_ebitda
1988,Other,3,11,16.4770003,20.7899989,137.36100326666667,332.4710199,34.97800003
1989,Asia Pacific,174,13882,23383.6535494,38650.414667,6378.998161242775,1061288.594828,88707.59430330001
1989,Europe,103,5871,30601.007676100002,36606.2261296,8284.499728696079,867112.1620795,118225.9917636
1989,North America,794,18156,55612.6016765382,146735.4175381896,3462.1431916354745,1969977.257396154,326415.3347842531
1989,Other,7,29,64.71100059999999,40.7660002,138.68670944285714,861.5559799,93.500997
1990,Asia Pacific,189,13587,29946.144282001,50137.7512422,7245.3185679359785,1320858.1076,100770.2552735
1990,Europe,113,5770,40701.2794762,48752.0278302,9729.632338972728,1053272.2397261,135374.2990689
1990,North America,783,17014,61817.573656792,156963.6967170246,3197.2995075779118,2044458.15902967,325803.2490492061
1990,Other,5,27,86.64100099,50.01299811,252.34459802,1195.40999,139.896994
1991,Asia Pacific,194,14662,34082.9020868,58734.2039678,7688.638812575129,1407239.24476,96386.9094269
1991,Europe,116,6135,39358.13053108,44519.332833855,9902.134647814912,1074233.44404801,129374.617764
1991,North America,845,18884,63796.977339373,160208.9985440141,3497.659273579021,2129955.9721494713,315571.2264949956
1991,Other,5,37,94.909967,47.2000001,5777.375642,8517.95119,2450.0430499999998
1992,Asia Pacific,204,15749,38960.1649577,59003.4687139,8445.10752168473,1618422.20813,97882.8368043
1992,Europe,120,5990,39278.241897500004,32531.81117079,9213.180449887288,1022000.885713201,110187.2647621
1992,North America,938,20033,71037.6770961458,156801.6111850464,2965.6411793292696,2124563.8775445907,324594.136062127
1992,Other,6,38,97.30153594,45.760999999,5100.710253333334,8733.77385,2274.1031741
1993,Asia Pacific,213,16817,42013.26354362,59181.917497699,9177.907688725472,1797273.237059999,98477.86302845
1993,Europe,125,5975,37728.325696500404,42070.4190574,9330.83038851613,1045836.49035201,115843.21256573
1993,North America,993,21307,72250.967105271,164837.53368104112,3544.2079162705527,2316747.948677469,368191.1946761178
1993,Other,8,36,306.13087310000003,85.43199809000001,6835.47069,21833.139522,4484.1311772
1994,Asia Pacific,228,17665,49053.59139801,74690.287124,11403.651256414978,2193566.056,153185.1955773
1994,Europe,130,6081,44040.6975338,65417.31310556,11042.002596086046,1254871.86540981,164127.55480762
1994,North America,1119,22439,78221.3238722482,193409.7846341681,3129.7828385073253,2573689.79515374,438786.6903346612
1994,Other,8,40,337.4264789,416.67670590999995,5504.381991125,22721.163919799998,2747.2947315
1995,Asia Pacific,236,17682,40516.9907,86760.459953,9855.089054719148,2000511.409179,196031.30366520002
1995,Europe,139,6396,53479.964281399996,72778.53233839,11128.787524251798,1426649.730438,185465.4681793
1995,North America,1224,22609,93668.70823268741,222262.1489035097,3074.555366125965,2866042.446195057,517526.3007544206
1995,Other,13,53,406.82990788,507.05115619000003,3744.067539192308,22489.498354000003,3013.7465125
1996,Asia Pacific,252,19376,40436.99895155,99276.44211669,8341.06678143984,1873265.3945105,191500.2597788
1996,Europe,160,7256,59006.2917348,96804.45133693,10344.121380314466,1514190.4264087,203600.9256646
1996,North America,1362,25529,100076.430182041,255368.2258633667,3052.3867144686196,3120468.312243653,556704.912669136
1996,Other,10,48,394.4704665,137.83400188000002,5335.83988597,24667.770056,2781.38681913
1997,Asia Pacific,254,19864,38470.606819922,80483.51910961,8105.391979150793,1758162.839941,180409.45668834
1997,Europe,159,7810,61921.8593638,116944.91487717,11595.74122943949,1536091.27028982,233414.6769588
1997,North America,1427,26612,113762.5973857273,280079.9358756547,3048.1096613893287,3335490.332874633,610373.23812394
1997,Other,13,43,451.3434056,3426.22641081,4060.5839285538464,25213.44831,4336.1567967
1998,Asia Pacific,273,27515,49696.53191604,94684.49786749,8644.958644298893,1949257.77791343,198040.645146
1998,Europe,172,10529,71300.3272031,139658.2021257,13765.928841872093,1818040.5362378,284110.0688871
1998,North America,1644,35446,134153.300620995,292995.92412654014,3573.762447126523,3466224.6232935656,668912.128067386
1998,Other,19,78,263.5189999,4768.18457113,2670.7683701210526,21801.469170200002,5137.3660929
1999,Asia Pacific,291,28931,75270.157284,174379.075482211,9776.532438951557,2327593.1022665,281320.1270263
1999,Europe,198,11727,74733.8847179,159987.3784445,13536.55651467005,1857275.6552108,285052.21004
1999,North America,1655,37144,135425.6083309462,308444.4063026351,4801.272303844907,3932818.112261642,824715.903081493
1999,Other,16,72,469.91700032,4102.92409483,3237.1571922499998,26729.995934000002,8488.41297217
2000,Asia Pacific,293,29845,66366.50424457,155139.21403437,8436.142975009278,2049041.240042998,261624.219397
2000,Europe,214,12671,80732.951511098,194301.712244992,18353.854189798123,2375675.4416941945,401393.520068
2000,North America,1753,38911,155846.720091396,375702.5128618165,5793.370589248352,4843234.984847487,976587.0847936346
2000,Other,26,95,869.93899889,6083.04401169,3402.7530953478263,49804.549157,18170.19501681
2001,Asia Pacific,311,32512,67534.51617881,151863.5737885397,7751.025343424116,2008584.5408565,222796.81129036
2001,Europe,226,14184,87723.5944245,162736.129674612,15391.303366497334,2341746.195299502,358009.88505377
2001,North America,1751,41620,166332.9739955811,360357.0590990668,5604.871857558116,4905981.746081275,831095.8275055625
2001,Other,27,130,801.1239997,7455.10877869,2988.0313820384613,48403.570424,15480.9646731
2002,Asia Pacific,323,34341,76171.65423157,171500.750900073,9147.673777682663,2308491.71548253,313858.9454826
2002,Europe,232,15078,97495.41070760001,201600.39651502,15467.695770086208,2700823.86637435,405935.7846596
2002,North America,1698,42501,159340.5289760848,292968.2939775455,6644.245339054565,4751459.95635965,871291.5058692058
2002,Other,27,126,819.122,7027.499806191,2266.0006617192307,38588.4628644,12367.703915092
2003,Asia Pacific,332,35035,91757.32987347001,190221.02510958,12603.11189264759,2769819.132453,399151.55002974
2003,Europe,226,15056,110918.7008598,202747.676875062,23197.274993597344,2971355.7283842,483653.62784728
2003,North America,1701,44455,163297.933611132,267932.0485672123,7493.078119801871,5183639.431289106,940833.6215273483
2003,Other,35,191,990.6119963900001,10136.9211644708,2538.5641887714287,53577.3941121,17748.74259381
2004,Asia Pacific,341,36767,94091.07668522,242224.3766226,12953.726623079117,3028717.5294951,458512.5040037504
2004,Europe,218,14062,124596.40189611,233383.640067267,19296.908926894495,3410163.18962383,570307.7608612
2004,North America,1625,43776,174322.1003095354,327859.1938808985,9265.020767601134,6123987.666239526,1158595.041907514
2004,Other,42,203,1911.9110306,13731.580306219601,3059.10908675,80570.8569855,26034.73107792
2005,Asia Pacific,336,32497,90764.09076985,244171.322414418,14862.043555486269,3004815.1070587,431334.99071941
2005,Europe,208,11454,109017.6800961,208552.811016763,26759.378590864733,3100086.844597,582013.92053068
2005,North America,1533,39292,182522.8834386954,338141.2050466878,8825.702913353347,6360225.756338454,1177990.748954235
2005,Other,29,140,1582.9329377,17107.736047297,4837.675007558621,97061.27490403,31549.92613381
2006,Asia Pacific,347,41758,97821.51715038,289218.1262095688,15736.018555237282,3459225.3672923,519370.08815047
2006,Europe,219,13572,128174.6010199,275004.84089643,40262.74800935484,3920432.28954965,758055.1611745
2006,North America,1563,47122,214071.537009266,403723.35276196885,11121.72846710692,7224895.197029139,1424200.729009411
2006,Other,31,167,3568.97770269,22013.534329410002,6419.797005522581,116567.92454579,40016.239959302
2007,Asia Pacific,344,39074,119954.05249073,350136.93676086,18983.825568354943,4360531.197952,651625.41749145
2007,Europe,214,11998,154094.7001678,297942.918239478,35360.97468071698,4186104.0565393,829975.0267798002
2007,North America,1501,41673,225716.74804142,413393.0155680134,15401.687655107875,7864578.516812733,1638005.5155462753
2007,Other,31,150,2987.792739101,31070.971270436,8266.11626986129,153717.96874619,52102.11078675
2008,Asia Pacific,343,40772,125572.74913707,345659.725282537,18867.34652103695,4220012.42798193,479621.42384405
2008,Europe,214,11919,150473.9267856,310052.293184752,47387.77408957346,4604586.2099566,777631.20337751
2008,North America,1417,42366,233783.907325059,423144.9832883991,14050.753557235996,7750589.649405473,1255948.68714969
2008,Other,25,160,4756.2291667,40279.50861524,10640.17133608,182157.84300999,54820.1156662
2009,Asia Pacific,352,44412,119588.46097967,294126.902539761,19384.759026466192,3989951.14289135,518094.409575696
2009,Europe,218,12539,156218.1026263,274218.395096869,56860.027580462614,4014988.71661608,631243.38851623
2009,North America,1416,45137,206078.029763386,369228.6660703465,16283.356749868959,7278001.1309537245,1206762.841188398
2009,Other,31,194,3643.7097332,47680.1375865939,12203.470922674194,165032.08789317,50123.49971647
2010,Asia Pacific,353,56552,149420.345378991,355378.3538857715,22250.685455086845,4944778.91977426,687874.285178719
2010,Europe,223,16757,155755.4747741,259910.659444446,56758.215853442925,4275367.0211228,814769.8543958
2010,North America,1481,57757,225856.6218487052,396170.09208606946,20406.974652299188,8293450.724805844,1788158.6310931281
2010,Other,33,245,3911.072009903,66613.249276341,17150.0024568125,234066.12432671,77072.90544656
2011,Asia Pacific,349,57889,163901.45160742,390575.16072841,24076.8991712523,5132385.09470469,679394.25654651
2011,Europe,229,16613,160797.3988913,273695.04654791,49087.38817850482,4573711.4728622,860269.2475154
2011,North America,1517,59037,243352.582946697,497777.1177732225,19873.78852303053,9385472.156791756,1932769.2790404663
2011,Other,40,226,5303.12298831,61601.975366641,15021.720057176315,274737.48423761,84989.6067351295
2012,Asia Pacific,344,64201,148821.60591752,407815.427740158,25808.01238337401,5028234.04697052,671910.14726331
2012,Europe,231,18845,173359.8414679,329741.3783466,55339.25162082121,5021856.9814724,837159.9373131
2012,North America,1592,66120,262422.0927246131,543413.4287707979,18604.45639652881,9454963.178822571,1962501.405492825
2012,Other,49,267,5221.255865699,71303.5330140291,14404.736921911555,302814.39497885003,73607.67729822
2013,Asia Pacific,332,65864,146122.7999073,426492.233000889,25409.92100282831,5145056.1691458,726255.39541857
2013,Europe,240,20973,180310.7063007,346216.542801834,60890.381529164435,5137939.2368732,861378.9351346
2013,North America,1651,74415,273402.7319645569,551120.3483446358,18759.06353075391,9458934.209468495,2039112.415796875
2013,Other,46,287,4585.5719944,62091.63291079093,11851.892169539131,239185.53043248,59668.8128534
2014,Asia Pacific,342,69474,139987.18613539,370293.873458513,23718.587713377194,4643265.08924293,684491.50827892
2014,Europe,239,22203,166866.24131557,305848.3365252411,59619.01493745,4614633.896239191,791908.48521399
2014,North America,1601,80983,294684.772743675,607328.5718372953,21149.28762200561,9919444.733816799,2069472.047952838
2014,Other,55,306,4824.509294104,60802.7790015619,10940.30374589091,288764.901099138,63970.15287621
2015,Asia Pacific,342,68989,147459.22521656,378220.227704887,26659.754369274855,4606771.6109033,689188.45329612
2015,Europe,240,21513,163325.32421034,289664.153708357,47032.87424726875,4116512.5622385102,706919.5601777
2015,North America,1521,75814,308658.114541845,545308.5120556937,19468.329225909565,8975163.882526616,1884512.4538517105
2015,Other,56,323,4232.321989804,46912.091077494,9503.0734329625,225069.46041402,46486.45877661
2016,Asia Pacific,325,68396,146990.16659305,368095.6630493091,31417.086516883075,4404852.07329603,720889.972097861
2016,Europe,223,21106,162803.4361061,264744.587402794,50994.929333973545,3916730.7867488,691754.43619871
2016,North America,1430,75461,326207.7526788217,518526.0862395273,21167.07135550791,8987757.627724769,1854174.549129318
2016,Other,55,328,4572.1328152,29653.0369703681,10037.257881303636,180982.78368917,52371.32686551
