year,sic_2d,count_companies,count_patents,sum_rdex,sum_capex,mean_assets,sum_sales,sum_ebitda
1981,61,1,1,0,186,25103.004,7211,1953
1981,65,1,1,0,0.54000002,5.5050001,7.5269995,0.308
1981,67,2,2,0.049,0,0.98250005005,0.0040000002,-0.43499999999999994
1981,72,2,2,0,35.828,262.89,1054.83796,128.623999
1981,73,12,780,2281.887010001,8404.852007599,3610.245340741667,41393.015088,11193.738797799999
1981,78,1,1,0,3.632,32.835999,28.882,5.96
1981,80,1,2,0.43000001,0.083999999,1.4630001,0.63999999,-1.001
1981,87,4,16,0.02,43.987999918,113.350247,496.32802101,66.891998
1981,99,4,986,1119.08881,2812.20579,7025.811025025,35825.9468,5005.32089001
1982,10,2,7,0,387.53283999999996,1821.8863999999999,1713.43068,98.000874
1982,12,1,1,0.27599999,0.54100001,37.603001,31.138,0.93199998
