year,industry_code,count_companies,count_patents,sum_rdex,sum_capex,mean_assets,sum_sales,sum_ebitda
1986,3,203,5136,12830.14,23425.52,1810.5471,383434.59,39874.69
1986,4,24,1422,2926.36,27146.76,14895.79125,293699.11,48873.92
1986,5,51,2249,5168.7,10647.45,2853.3872549019607,158673.87,23360.2
1986,6,170,5369,17740.19,19526.58,1493.9275147928995,243550.12,34209.52
1986,7,9,990,1957.65,20649.07,21255.843333333334,103174.16,37740.17
1986,8,10,38,0,14446.65,17487.276,52616.78,20744.39
1986,9,17,103,8.67,1119.96,6449.5841176470585,158013.4,5808.5
1986,10,88,2022,6899.04,6617.57,1123.0265909090908,96723.92,16422.25
1986,11,9,12,4.79,123.88,2508.2122222222224,3730.7,1199.15
1986,12,26,937,2287.12,4985.25,2702.4124,72591.43000000001,8635.29
1987,1,53,322,800.44,6693.48,2500.413962264151,161329.71,21865.74
1987,2,76,3438,12307.48,23680.35,5356.626,489571.32,41635.299999999996
1987,3,270,7222,17710.83,24581.13,2538.289328358209,645786.6,65096.51
1987,4,27,1406,2602.44,24676.58,14076.521153846154,329586.44,48255.4
1987,5,77,2981,7262.74,11857.97,3108.218947368421,251099.19,32807.22
1987,6,214,7906,21785.64,20542.11,1655.5588625592418,329767.3,44798.99
1987,7,14,1317,4901.19,31261.739999999998,20870.924285714285,179768.38,56923.98
1987,8,9,27,0,5908.36,12479.08111111111,28608.59,12434.75
1987,9,21,733,42,3117.53,9765.379047619048,320029.27,9847.14
1987,10,116,2666,9325.380000000001,8252.74,1215.0510526315788,126368.98,21135.46
1987,11,8,9,21.7,83.39,2152.96,3615.08,1318.62
1987,12,31,1039,2257.96,4843.07,2965.618064516129,86078,10385.46
1987,NA,1,1,0,0,304.12,155.82,18.75
1988,1,50,300,1239.83,8627.9,3494.2218749999997,182512.08,26882.11
1988,2,76,3420,15202.2,26548.86,8365.032666666666,580312.16,64928.86
1988,3,291,6982,18791.329999999998,30018.91,2725.466388888889,738661.59,87528.7
1988,4,26,1262,2875.95,35973.28,14477.507692307692,350810.72000000003,57121.09
1988,5,83,2987,8250.69,15873.26,3341.566097560976,282267.96,40384.840000000004
1988,6,222,7521,24502.83,25584.83,1927.8138888888889,378470.96,56802.33
1988,7,8,1083,2553.02,21887.18,26086.89125,110763.58,39959.42
1988,8,10,31,0,7078.96,13585.851,38396.29,15423.26
1988,9,24,787,37.31,3745.82,10207.978181818182,329878.78,5739.4
1988,10,122,2469,10066.81,9213.94,1188.2978813559323,131947.08,23347.440000000002
1988,11,9,14,2.51,55.55,26554.345555555556,35742.659999999996,7428.36
1988,12,37,1023,2363.27,9048.92,4985.909729729729,117480.25,19318.83
1988,NA,1,1,0,0,354.14,312.31,42.48
1989,1,54,407,1686.44,9679.09,3634.4096153846153,203369.95,34421.4
1989,2,89,4215,19103.61,35858.45,8481.19,694447.0599999999,83876.99
1989,3,313,9322,20202.63,38009.86,2988.113980582524,842750.53,99779.73
1989,4,29,1674,3487.56,33191.45,15202.968620689655,413746.78,61934.25
1989,5,99,5156,13750.32,18229.01,3947.4332653061224,420952.68,59852.6
1989,6,242,9330,29292.54,29431.489999999998,1949.5848717948718,425274.87,61152.54
1989,7,13,1151,3024.27,24845.41,18583.23846153846,129503.23,44997.8
1989,8,10,30,0,6895.69,12954.648,38838.13,14860.84
1989,9,25,1134,270.28000000000003,2584.23,10740.799130434783,328450.07,5734.37
1989,10,152,3347,12735.15,11170.2,1325.4665492957747,171881.05,31492.74
1989,11,14,22,39.6,1137.19,29320.73214285714,72338.91,8946.85
1989,12,38,2149,6280.5,11236.17,6514.614736842105,163364.73,26439.63
1990,1,55,355,2149.87,12656.87,4838.013962264151,278810.85,42532.89
1990,2,94,4145,23732.51,40445.28,9708.355393258427,784911.5,76630.83
1990,3,313,8723,23622.83,44487.29,3494.674013157895,965243.4,100503.41
1990,4,26,1433,3706.34,34241.7,17545.37653846154,466672.62,66399.77
1990,5,100,5258,15893.13,21880,4512.5387,487407.99,63339.85
1990,6,243,8727,32897.85,31796.85,2305.732905982906,479597.84,67224.24
1990,7,14,1186,6128.21,38389.66,24126.987142857142,204448.12,59195.55
1990,8,5,27,0,5911.35,19384.522,22080.12,9705.9
1990,9,18,1336,385.77,2471.91,10508.333888888888,330362.51,7520.16
1990,10,165,3159,16723.52,13929.15,1545.2051315789474,205076.47,37606.46
1990,11,10,16,45.28,158.18,4716.808,7452.34,2499.81
1990,12,46,2030,7490.92,9777.42,6587.176222222222,193445.66,28843.12
1990,NA,1,2,0,0,500.81,369.12,44.37
1991,1,68,363,2515.52,13518.91,4169.639850746269,301630.13,50778.17
1991,2,94,4360,22978.64,44012.57,10243.213846153847,835130.3,67436
1991,3,317,9521,25185.37,40578.91,3719.2336393442624,1002259.69,92471.3
1991,4,31,1514,4040.0499999999997,37460.659999999996,15432.88,446511.88,57990.72
1991,5,102,5573,16176.93,18242.59,4552.721274509804,494999.74,53828.17
1991,6,260,10112,35889.03,32981.79,2341.949387755102,497079.16,59984.9
1991,7,14,1231,3618.08,35761.98,24185.91857142857,167218.86,57638.93
1991,8,11,32,0,8821.7,12794.19,40133.99,16278.58
1991,9,25,1295,426.76,3813.1200000000003,11605.84375,367307.16,6501.53
1991,10,187,3672,18988.2,14267.64,1429.9709444444445,224104.11000000002,43449.33
1991,11,11,24,1.43,22.34,23351.14181818182,38497.88,7636.24
1991,12,39,2013,7681.179999999999,14140.31,8968.064324324325,210155.35,29993.65
1991,NA,1,3,0,0,538.91,396.1,41.67
