sic,count_companies,count_patents,sum_rdex,sum_capex,mean_assets,sum_sales,sum_ebitda
2540,31,71,57.317000224,288.65300093,191.33777296774193,9157.554909,1055.3129834
2590,78,1478,2088.3858971,4439.8472874,1811.7619130384614,113667.02633,17409.4453889
2600,32,208,189.5563891,22799.09165,11252.60885625,369704.7187,49942.21423
2611,24,43,3.7,3943.7481258,2117.31626175,34632.323011,5179.05269208
2621,251,7136,13617.2573818,93532.9527628,6978.751555541833,1475966.395937,223011.36819459999
2631,151,2454,4312.6729744,68970.136401,9557.697560927152,1097021.65313,149547.945142
2650,114,920,675.02800381,14201.7119124,2471.955900526316,274864.489499,41028.0671473
2670,318,17879,46446.759304187,64852.416637266,3724.032077113738,1234679.4507166,235526.909591
2673,22,35,4.369000068,20.72400039,31.256789631578947,854.45999888,24.76600064
2711,6,8,0,227.388001,2373.5526333333332,9876.18707,1427.237
2721,9,11,0,214.086,4063.6454025000003,16831.88123,5216.489011
2731,52,186,4687.88001612,9272.777990402,4573.81747422449,145388.102526,30082.52785818
2750,171,3358,10713.167519442,43622.002428701,6159.693689856805,1022566.1572151,109062.4486409
2761,48,303,248.1380015,1598.8379879,534.355708125,37095.00598,4286.201994
2771,27,80,0,1592.150016,1661.5040562962963,44512.05384,5701.19999
2780,33,216,302.8339966,1302.658989,1260.5407833333334,43605.203695,7282.2610262
2790,33,68,82.5360008,587.6679991999999,667.0422897575758,18396.91202,2934.15899
2800,730,54577,291221.0212156,319502.9688018,10236.158303527334,6723795.26206913,919432.53688949
2810,499,13720,25132.93469939,166020.9831446509,4927.669309295755,1670196.909575,333233.996900057
2820,421,25670,98090.4402493,193649.025692496,8568.163540797248,3286879.09170981,438109.70621902
2821,346,21268,68194.07923736,126113.3980058658,7315.02765115974,2124942.22820579,297366.128236737
2833,134,470,1769.266831973,2765.701554609,460.55450191654137,43013.89748897,10324.795826894
2834,3389,106302,1875788.470996258,661369.6042414717,6855.01665229521,12623480.375543958,3639381.274432166
2835,894,5522,30723.553567866,11783.08814105346,342.9729180027594,164381.8900096661,20258.0310982389
2836,3299,20297,272933.853711714,57126.89137807522,756.461243688461,985952.9094351906,317786.165856443
2840,259,20734,85420.27513397,127945.02305797,17253.331368969113,4041230.848121,585529.2011159
2842,88,2026,4884.65696811,13924.1240760531,3362.071903643182,281654.8900495,56023.856126636
2844,336,8164,37117.1123794168,55663.2936880822,4627.627396403623,1595931.5231417124,261340.05427154
2851,268,8011,38360.8799923,41213.847769482,4576.5534668272385,1259714.8655321,169342.96813903
2860,456,14936,40555.367540388,163169.3505973875,6906.192998930423,2217812.136951298,415447.85097405
2870,191,4516,23454.921031729,36309.0708497919,3925.685324029369,582468.9549832258,102010.411003881
2890,396,7064,15659.2367391,37030.7918714382,2113.5800933341266,739198.096888639,103864.409597431
2891,56,348,712.113005518,1697.54297901,717.9082343836363,46545.172710996,5155.481037611
2911,511,27543,141978.9821473,3395827.0226890002,72056.29881374257,35547174.5130389,5726339.5360898
2950,15,35,338.9099919,1189.073985,2354.255322,36763.70209,5369.9039680000005
2990,59,947,3749.570440637,3747.843199398,1183.2674183525423,70790.472156205,10092.95899754
3011,265,13114,51751.40445168973,127230.030586678,8905.452942981887,2338607.9216604,285504.42026767
3021,98,3235,3050.7924838999998,20552.62938137,5557.510043071428,790027.175196,100238.28461819999
3050,110,1307,3262.5493871,12140.38166288,1745.8119123302752,195280.097176,24113.9990633
